,Unnamed: 0,Country,TIME,nominalgdp,housepi,interbank,fixedcap,accountgdp,NOMexchange,REexchange,industrialprod,stock,unemployment,foreignreserver,CPI
42359,42360,South Africa,1990-02-01,,,,,,,,,,,,24.63264
2240,2241,Belgium,1990-02-01,,,,,,,,,,6.749932,,66.39466
16813,16814,Hungary,1990-02-01,,,,,,,,,,6.955481499999999,,65.79088333333334
31060,31061,New Zealand,1990-02-01,,,,,,,,,,7.1610309999999995,,65.18710666666666
30346,30347,Norway,1990-02-01,,,,,,,,,,5.9,,64.58333
29839,29840,Netherlands,1990-02-01,,,,,,,,,32.508559999999996,4.166666666666667,,64.4751
26629,26630,Mexico,1990-02-01,,,,,,,,,6.925300999999999,2.4333333333333336,,10.82414
32383,32384,Poland,1990-02-01,,,,,,,,,58.73640075,0.7,,5.324639
25196,25197,Latvia,1990-02-01,,,,,,,,,110.54750050000001,1.2082263333333332,,2.66248
4412,4413,Brazil,1990-02-01,,,,,,,,,162.35860025,1.7164526666666666,,0.000321
22081,22082,Japan,1990-02-01,,,,,,,,,214.1697,2.224679,,93.29809
20185,20186,Israel,1990-02-01,,,,,,,,,163.284985,6.049785999999999,,30.70115
19655,19656,Iceland,1990-02-01,,,,,,,,,112.40027,9.874893,,39.44632
18935,18936,Ireland,1990-02-01,,,,,,,,,61.515555000000006,13.7,,60.64585
18260,18261,India,1990-02-01,,,,,,,,,10.63084,11.9891764,,36.596935
17398,17399,Indonesia,1990-02-01,,,,,,,,,20.741880000000002,10.2783528,,12.54802
24834,24835,Luxembourg,1990-02-01,,,,,,,,,30.85292,8.5675292,,64.36641999999999
36245,36246,Slovenia,1990-02-01,,,,,,,,,40.96396,6.8567056,,64.88908
1799,1800,Austria,1990-02-01,,,,,,,,,51.075,5.145882,,65.41174000000001
20838,20839,Italy,1990-02-01,,,,,,,,,39.457415,6.422941,,55.18874
5556,5557,Canada,1990-02-01,,,,,,,,,27.83983,7.7,,66.604
24472,24473,Lithuania,1990-02-01,,,,,,,,,24.711523333333332,5.2856000000000005,,46.929095000000004
6974,6975,Chile,1990-02-01,,,,,,,,,21.58321666666667,2.8712,,27.25419
6378,6379,Switzerland,1990-02-01,,,,,,,,,18.45491,0.4568,,74.0454
40653,40654,United States,1990-02-01,,,,,,,,,24.965320000000002,5.3,,58.85381999999999
38519,38520,Turkey,1990-02-01,,,,,,,,,51.48368,3.6299235,,0.058566999999999994
37153,37154,Sweden,1990-02-01,,,,,,,,,26.02149,1.9598470000000001,,66.06929000000001
34797,34798,Saudi Arabia,1990-02-01,,,,,,,,,30.3903075,3.1948852500000005,,70.9009
364,365,Argentina,1990-02-01,,,,,,,,,34.759125,4.4299235,,49.49811
15003,15004,Greece,1990-02-01,,,,,,,,,39.127942499999996,5.664961750000001,,28.09532
13694,13695,United Kingdom,1990-02-01,,,,,,,,,43.496759999999995,6.9,,61.49533
13095,13096,France,1990-02-01,,,,,,,,,38.41988,7.696296,,70.80587
