country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Afghanistan;;;;;;;;;;;;;;;;;;;;;;;346;270.6;245;206.4;23;20.1;19.1;16.2;7.7;7.5;6.8;6.9;8.7;9.1;7.8;7.5;6.9;7.5;7.7;7.7;8.1;8.5;9
Albania;;;;;;;;;;;;;;;;;;72.2;71.2;68.2;63.8;60.6;64.1;60.2;57.5;58.2;56.7;53.6;55.1;59.7;57.7;59.4;62.1;70.4;72;73.7;73.3;71.9;69.9;66.7;64.9;62;60;57.3;57.7
Algeria;;;;;;;;;;;;77.8;62.9;74;98.4;116.2;98.1;69.9;72.9;82;62.8;54.3;51.3;42.1;35.2;26.3;23.6;13.5;8.1;9.8;10.5;9.3;9.3;7.6;7.7;8.7;20.5;27.3;38.3;46.1;49.2;52.5;54.7;55.6;58.5
Angola;;;;;;;;;;;;;;;;;;;;;133.9;113.5;73.7;58;47.7;33.5;18.7;21;31.4;56.3;37.2;29.6;26.7;33.1;39.8;57.1;75.7;69.3;89;95;89.9;84.2;78.7;72.9;68.3
Antigua and Barbuda;;;;;;;;;;;98.1;99.1;95.5;90.1;89.7;98.3;91.7;87;102.6;104.6;104.7;117.9;126.3;125.2;120.1;92.7;89.2;77.9;76.1;101;89.7;91.8;87.5;95.8;104.6;100.3;87.6;90.6;89.5;90;90.1;91.2;93.2;95.5;98
Argentina;;;;;;;;;;;;;25.7;27.7;29.3;31.7;33.6;32.7;35.2;40.1;42.1;49.4;152.2;129.1;117.9;80.3;70.8;62.1;53.8;55.4;43.5;38.9;40.4;43.5;44.7;52.6;53.1;57.1;86.1;93.3;80.8;76.4;74;70.5;68
Armenia;;;;;;;;;;;;;;;;;40.8;46.5;45.2;39.2;39.6;38.1;38.2;33;26.4;20.5;16.2;14.2;14.6;34.1;33.8;35.7;35.6;36.3;39.4;44.1;51.9;53.7;51.3;50;50.1;49.6;49.1;48.8;48.4
Aruba;;;;;;;;;;;;;;;;55.1;54.8;51.1;41;39.3;38.6;43.8;47.6;41.3;43;45.7;46.4;45.6;41.7;49.9;56.1;63.9;67.6;74;81.6;81.3;84.4;86.7;84.5;82.9;81.8;80;78.1;76.1;74
Australia;;;;;;;;;;17.1;16.4;21.6;27.7;30.7;31.8;31.2;29.4;26;23.8;22.6;19.6;17.2;15.1;13.2;11.9;10.9;10;9.7;11.8;16.7;20.4;24.1;27.5;30.5;34;37.7;40.5;41.1;41.4;41.8;42.3;41.3;39.6;37.9;36.6
Austria;;;;;;;;;57.4;56.3;55.9;56.1;56;60.6;63.7;67.9;67.8;63.1;68.8;61.1;65.7;66.4;67;64.9;64.8;68.3;67;64.7;68.4;79.6;82.4;82.2;81.7;81;83.8;84.4;82.9;78.5;73.8;70.7;67.7;65.1;62.2;59.2;56.3
Azerbaijan;;;;;;;;;;;;;;;;19.2;16.7;12.5;14.3;25.4;22.8;24.4;23;21.8;9.7;6.9;5.3;4;3.2;4.7;5;5;5.8;6.2;8.5;18;20.6;22.5;18.8;19.7;18.6;16.9;15.3;13.7;10
