"","precrisis","threshold_d","n","threshold"
"1",0,0,1875,20
"2",0,1,481,20
"3",1,0,214,20
"4",1,1,118,20
"5",0,0,2060,25
"6",0,1,296,25
"7",1,0,256,25
"8",1,1,76,25
"9",0,0,2166,30
"10",0,1,190,30
"11",1,0,280,30
"12",1,1,52,30
"13",0,0,2222,35
"14",0,1,134,35
"15",1,0,291,35
"16",1,1,41,35
"17",0,0,2267,40
"18",0,1,89,40
"19",1,0,300,40
"20",1,1,32,40
"21",0,0,2306,45
"22",0,1,50,45
"23",1,0,306,45
"24",1,1,26,45
"25",0,0,2332,50
"26",0,1,24,50
"27",1,0,309,50
"28",1,1,23,50
"29",0,0,2344,55
"30",0,1,12,55
"31",1,0,314,55
"32",1,1,18,55
"33",0,0,2346,60
"34",0,1,10,60
"35",1,0,315,60
"36",1,1,17,60
"37",0,0,2354,65
"38",0,1,2,65
"39",1,0,321,65
"40",1,1,11,65
"41",0,0,2354,70
"42",0,1,2,70
"43",1,0,325,70
"44",1,1,7,70
"45",0,0,2356,75
"46",1,0,331,75
"47",1,1,1,75
"48",0,0,2356,80
"49",1,0,332,80
"50",0,0,2356,85
"51",1,0,332,85
"52",0,0,2356,90
"53",1,0,332,90
"54",0,0,2356,95
"55",1,0,332,95
"56",0,0,2356,100
"57",1,0,332,100
