precrisis;threshold_d;Currency_change;threshold
0;0;1.671839628;20
0;1;3.313853664;20
1;0;18.86824131;20
1;1;38.25042343;20
0;0;1.802927526;25
0;1;3.865230386;25
1;0;21.03463679;25
1;1;36.74099214;25
0;0;1.823423443;30
0;1;3.865230386;30
1;0;21.03463679;30
1;1;44.67640386;30
0;0;1.877221442;35
0;1;3.912004778;35
1;0;21.12466491;35
1;1;54.8857868;35
0;0;1.921116125;40
0;1;3.778404207;40
1;0;21.16792088;40
1;1;55.25380711;40
0;0;1.937619266;45
0;1;3.693802607;45
1;0;21.3740458;45
1;1;55.88343476;45
0;0;1.949970047;50
0;1;3.693802607;50
1;0;21.3740458;50
1;1;55.88343476;50
0;0;1.949970047;55
0;1;3.863005808;55
1;0;21.3740458;55
1;1;57.63760637;55
0;0;1.955833167;60
0;1;3.924357165;60
1;0;21.38451157;60
1;1;59.01595745;60
0;0;1.95799735;65
0;1;3.985708521;65
1;0;21.82590884;65
1;1;59.06432749;65
0;0;1.95799735;70
0;1;3.985708521;70
1;0;21.9697851;70
1;1;59.01595745;70
0;0;1.960161532;75
1;0;22.41029206;75
1;1;39.70838396;75
0;0;1.960161532;80
1;0;22.49394591;80
0;0;1.960161532;85
1;0;22.49394591;85
0;0;1.960161532;90
1;0;22.49394591;90
0;0;1.960161532;95
1;0;22.49394591;95
0;0;1.960161532;100
1;0;22.49394591;100
