threshold_d;FX_change;threshold
0;2.061819459;20
1;5.338311169;20
0;2.309343168;25
1;6.08907025;25
0;2.410579725;30
1;6.08907025;30
0;2.463105746;35
1;8.091872792;35
0;2.505327403;40
1;8.091872792;40
0;2.527746428;45
1;14.99208046;45
0;2.529610376;50
1;55.02538071;50
0;2.532184807;55
1;55.50761421;55
0;2.534883296;60
1;55.50761421;60
0;2.565003566;65
1;59.04014247;65
0;2.57794165;70
1;57.02066908;70
0;2.607263745;75
1;39.70838396;75
0;2.620733954;80
0;2.620733954;85
0;2.620733954;90
0;2.620733954;95
0;2.620733954;100
