,Unnamed: 0,Unnamed: 0.1,year,ISO2 Code,FIMM_PA_x,month,couprisk,election,broad_reserves_ratio,broad_base_ratio,foreignassets_reserves_ratio,broad_reserves_ratio_12monthsdelta,broad_base_ratio_12monthsdelta,foreignassets_reserves_ratio_12monthsdelta,inflation,current_account_12monthsdelta,moneymarket_rate_12monthsdelta,moneymarket_rate_1monthdelta,GDP_12monthsdelta,goodsandservices_12monthsdelta,reserves,reserves_1monthdelta,commodities_index,exports,imports,imports_fx,EMP,exchange_change_12m,net_debt_12monthsdelta,lending_borrowing_12monthsdelta,lending_rate_12monthsdelta,claims_private_12monthsdelta,election_p,real_deviation_hp,exchange_change,time,threshold,prob1,prob2,prob3,prob4,prob5,pred,precrisis,ENDE_XDC_USD_RATE,dummy,missing_ratio,Forecast date,FIMM_PA_y
0,0,0,01/01/1996,AR,-0.029806419,-1.552520682,-0.308182497,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.117381121,-0.017422414,-0.08362338,-0.051711017,-0.06798388,-0.003112581,-0.015049084,-0.130817438,0.167510462,0.101079143,-0.052949426,-0.124910809,0.008769243,-0.106502111,0.343123699,0.22957743,0.055912597,-0.582457284,-0.403970468,2.07E-13,0,1996,0.5,0.08643918,0.105623898,0.152047461,0.09823266,0.003926041,0.096765244,0,1,0,0.387096774,39:52.4,
1,1,1,01/01/1996,BR,-0.010980301,-1.552520682,-0.293968202,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.005094873,-0.018684001,-0.561211007,-0.352744498,0.015013135,-0.00260395,-0.014265575,0.221880477,-0.156416945,-0.000920098,-0.051634983,-0.127376076,-0.177950723,-0.025114315,-0.053338881,0.026217426,0.055912597,-0.582457284,-0.403970468,0.233090725,0.006166495,1996,0.5,0.0732838,0.099223421,0.152047461,0.0986262,0.531206903,0.090377805,0,0.979,0,0.258064516,39:52.4,40.59551502
2,2,2,01/01/1996,CL,-0.029806419,-1.552520682,-0.343290303,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.07666072,-0.006571254,-0.08362338,-0.051711017,-0.089129748,0.232078104,-0.015249392,-0.118847032,-1.083158307,0.63680583,-0.049199998,-0.126978365,0.107358296,-0.102975135,-1.079752438,-0.145982577,0.08950956,-0.582457284,-0.403970468,-0.169215869,0.013828507,1996,0.5,0.056742843,0.061491816,0.152047461,0.07780421,0.004915039,0.065346289,0,412.76,0,0.258064516,39:52.4,
3,3,3,01/01/1996,CN,-0.029806419,-1.552520682,-0.506100722,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.061708313,-0.006571254,-0.08362338,-0.051711017,-0.059506251,0.01432644,-0.015034496,0.076764537,-0.087954974,-0.491640863,-0.050649104,-0.125363315,-0.131587899,-0.113834751,-0.053338881,0.026217426,0.484762377,-0.582457284,-0.403970468,0.329819377,-0.000324621,1996,0.5,0.1532939,0.123019543,0.152047461,0.108557194,0.004972017,0.12829021,0,8.3147,0,0.419354839,39:52.4,
4,4,4,01/01/1996,CO,-0.018361101,-1.552520682,-0.292223842,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.01730188,-0.006571254,-0.08362338,2.116048487,-0.089129748,0.01432644,-0.015249392,0.162390631,-0.475698286,-0.128225805,-0.050994655,-0.125698524,0.129895122,-0.008218439,-0.053338881,0.82694744,-0.426265075,-0.582457284,-0.403970468,-0.774170083,0.040996283,1996,0.5,0.06600141,0.049568126,0.152047461,0.06924531,0.042352906,0.061604947,0,1028.14,0,0.35483871,39:52.4,24.68
5,5,5,01/01/1996,CZ,-0.024584609,-1.552520682,-0.339006853,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.077745038,-0.006571254,-0.078598617,-0.014124282,-0.089129748,-0.030040133,-0.015159189,0.298049631,-0.154416448,1.556514149,-0.052591335,-0.129991047,-0.077948311,-0.110845426,-1.067265655,-0.378452581,0.038947723,-0.582457284,2.475428475,-0.000712184,0.025712352,1996,0.5,0.053892262,0.055088866,0.152047461,0.07206413,0.002589898,0.06034842,0,27.286,0,0.225806452,39:52.4,11.26
6,6,6,01/01/1996,EG,-0.029806419,-1.552520682,-0.159457844,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.056569146,-0.006571254,-0.08362338,-0.051711017,-0.089129748,0.01432644,-0.015249392,-0.10010151,-0.051957592,-0.694248445,-0.052450242,-0.12817395,-0.007084054,-0.106502111,-0.053338881,0.026217426,-0.046043689,-0.582457284,-0.403970468,2.07E-13,0.000589971,1996,0.5,0.055785276,0.090923642,0.152047461,0.09296605,0.003473628,0.079891656,0,3.392,0,0.483870968,39:52.4,
7,7,7,01/01/1996,HU,-0.029806419,-1.552520682,-0.278549249,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,0.02496934,-0.006571254,-0.08362338,-0.051711017,-0.089129748,-0.024841865,-0.015243538,-0.709011823,-0.071380264,0.297573238,-0.052980719,-0.125487604,0.715350587,0.050242452,-1.060089343,-0.234485369,0.545297295,-0.582457284,-0.403970468,-0.085787338,0.041872804,1996,0.5,0.04623013,0.076557549,0.152047461,0.08507341,0.01729752,0.06928703,0,145.31,0,0.258064516,39:52.4,
8,8,8,01/01/1996,ID,-0.023717399,-1.552520682,-0.401644805,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.074195945,-0.005344895,0.123177431,-0.196851137,-0.007544825,0.030294734,-0.015245755,0.11499997,-0.039988549,0.110762946,-0.050031729,-0.122726292,-0.144465039,-0.082930904,-0.053338881,0.382097432,0.458789899,-0.582457284,-0.403970468,2.07E-13,0.001299827,1996,0.5,0.11766163,0.103343887,0.152047461,0.09918758,0.007179555,0.106731034,0,2311,0,0.322580645,39:52.4,13.13
9,9,9,01/01/1996,IL,-0.029806419,-1.552520682,-0.343715557,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.080076906,-0.001691689,-0.08362338,-0.051711017,0.02169682,0.027418761,-0.008119889,-0.31479419,-0.085157017,0.429251383,-0.050196549,-0.120671466,0.143236601,-0.082809794,-0.053338881,0.026217426,0.055912597,-0.582457284,2.475428475,-0.24761447,0.001594896,1996,0.5,0.1643312,0.058501153,0.152047461,0.07529369,0.002282647,0.099375347,0,3.14,0,0.35483871,39:52.4,
10,10,10,01/01/1996,IN,-0.013654052,-1.552520682,0.523451853,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.066135914,-0.006571254,4.372044636,2.548979073,-0.089129748,0.019350823,-0.015249392,-0.437946983,-0.085322095,-0.368368918,-0.052591335,-0.129991047,0.49962013,-0.024861499,-0.404476055,0.018249963,0.834479162,-0.582457284,2.475428475,2.07E-13,0.037237067,1996,0.5,0.067952834,0.233686785,0.152047461,0.5003883,0.99999994,0.267342648,0,36.49,0,0.35483871,39:52.4,34.83
11,11,11,01/01/1996,KR,-0.024519684,-1.552520682,-0.422244446,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.096940783,-0.005688457,-0.247512451,0.016323415,-0.009824054,0.017910086,-0.015140724,0.225647805,-0.143194436,0.595446956,-0.04981899,-0.119522593,-0.132490527,-0.108028111,-0.053338881,0.026217426,0.055912597,-0.582457284,-0.403970468,2.07E-13,0.012391881,1996,0.5,0.30118477,0.09027529,0.152047461,0.09132871,0.005801599,0.160929591,0,784.29999,0,0.322580645,39:52.4,11.4
12,12,12,01/01/1996,MX,-0.003173331,-1.552520682,-0.461062715,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,0.123513402,-0.038825317,3.175009281,1.273403634,0.016929815,-0.054715903,-0.015223331,-0.095777338,-0.115498408,0.152462247,-0.054360572,-0.116503154,-0.268235654,0.042444873,-0.053338881,0.337612432,9.140076653,-0.582457284,-0.403970468,-0.774439054,-0.032934249,1996,0.5,0.19419008,0.198808252,0.152047461,0.4266232,0.999999996,0.273207178,0,7.3908,0,0.193548387,39:52.4,57.43
13,13,13,01/01/1996,MY,-0.026866067,-1.552520682,-0.482935805,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.100697336,-0.006571254,0.427261423,0.160149,-0.024881604,0.01432644,-0.011982727,-0.435777003,-0.339944353,0.58187941,-0.04977239,-0.121709255,0.274941005,-0.105230312,-0.988396257,0.060657427,0.590222985,-0.582457284,-0.403970468,-0.517306188,0.008261212,1996,0.5,0.25396574,0.058366996,0.152047461,0.07483113,0.010113769,0.12905462,0,2.563,0,0.258064516,39:52.4,6.3404
14,14,14,01/01/1996,NG,-0.029806419,-1.552520682,2.683286049,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,0.152557891,-0.006571254,-0.08362338,-0.051711017,-0.089129748,0.001000142,-0.015249392,-3.508978127,0.060429419,0.40596823,-0.052051422,-0.11534473,2.252221788,-0.108989467,-1.765369859,0.189329096,0.013167766,-0.582457284,-0.403970468,1.0534208,0,1996,0.5,0.15699677,0.202803305,0.152047461,0.15451756,0.999998703,0.171439213,0,21.88662727,0,0.322580645,39:52.4,
15,15,15,01/01/1996,PE,-0.025493556,-1.552520682,-0.050761667,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.066251128,-0.018603337,-0.08362338,0.187770182,0.045452054,0.009843285,3.32E-06,0.51501257,-0.338888219,0.456754209,-0.049247762,-0.12679349,-0.253370274,-0.067673163,-0.053338881,0.026217426,-0.381978866,-0.582457284,-0.403970468,2.07E-13,0.021645022,1996,0.5,0.106785275,0.091529817,0.152047461,0.088588506,0.008101348,0.095634533,0,2.36,0,0.322580645,39:52.4,9.3
16,16,16,01/01/1996,PH,-0.024301954,-1.552520682,0.168565285,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.077213148,-0.012717061,0.127276135,1.041159297,-0.032854141,0.017768716,-0.015157295,-0.357513787,-0.195452934,0.627732551,-0.048767369,-0.117497965,0.150796283,-0.073688225,-0.897315295,0.026217426,0.230202364,-0.582457284,-0.403970468,-0.127842853,-0.001106279,1996,0.5,0.18034658,0.07529804,0.152047461,0.08049461,0.008910742,0.11204641,0,26.185,0,0.225806452,39:52.4,11.8695
17,17,17,01/01/1996,PK,-0.026073242,-1.552520682,1.306256525,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.065301846,-0.006571254,-0.431699849,-1.192368359,-0.089129748,0.027608681,-0.015249392,-1.63590693,-0.058835341,-0.426150759,-0.048337038,-0.105423487,1.02630171,-0.050257054,-0.022903305,0.080688856,0.055912597,-0.582457284,-0.403970468,-0.108686713,0.002335766,1996,0.5,0.08023788,0.089695641,0.152047461,0.0903185,0.216077086,0.086750674,0,34.33,0,0.322580645,39:52.4,8.05
18,18,18,01/01/1996,PL,-0.018305451,-1.552520682,-0.211782781,2.482481548,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.005304901,-0.006571254,-0.011956634,-0.051711017,-0.089129748,0.01432644,-0.014883212,0.495580793,-0.171308961,0.781795645,-0.049739735,-0.124214214,-0.145004648,-0.081928676,-0.81395746,0.074746518,0.055912597,-0.582457284,-0.403970468,2.07E-13,0.034035656,1996,0.5,0.060954012,0.055168504,0.152047461,0.07233861,0.007254441,0.062820375,0,2.552,0,0.322580645,39:52.4,24.8
19,19,19,01/01/1996,RU,-0.011859344,-1.552520682,-0.083987294,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,0.682937528,-0.200828171,-0.858967091,-0.138300293,-0.076370229,0.041979469,-0.005998556,-0.485263689,0.33581895,0.678234295,-0.048651077,-0.113291534,0.396915909,-0.015555165,-0.053338881,0.026217426,0.055912597,-0.582457284,-0.403970468,2.07E-13,0.019827586,1996,0.5,0.109738514,0.0826115,0.152047461,0.08508223,4.04E-06,0.092477416,0,4.732,0,0.322580645,39:52.4,38.7
