,year,ISO2 Code,ENDE_XDC_USD_RATE,month,couprisk,broad_reserves_ratio,broad_base_ratio,foreignassets_reserves_ratio,inflation,current_account,moneymarket_rate,reseves,reserves_12p,stocks,commodities_index,exports,imports,imports_fx,exchange_change,net_debt,lending_borrowing,lending_rate,M2,claims_private,dummy,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,yt2-1,indicator,indicator2,yt2-2,yt2-3
12530,1990-01-01,PK,21.42,1.0,0.009311278350651264,,,,,,,529.29163021289,,,,,,1.2721581675694817,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,,
12531,1990-02-01,PK,21.42,2.0,0.009918613359332085,,,,,,,564.8690957453811,,,,,,1.107897383973974,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
12532,1990-03-01,PK,21.52,3.0,0.012310107238590716,,,,,,,548.8585477534671,,,,,,1.0071003062937074,0.00466853408029877,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
12533,1990-04-01,PK,21.86,4.0,0.008486833423376083,,,,,,,516.40394909934,,,,,,1.0841119464967712,0.01579925650557623,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00466853408029877,0.0,0,0.0,0.0
12534,1990-05-01,PK,21.9,5.0,0.008517682552337645,,,,,,,443.495690051037,,,,,,1.2230864162629413,0.0018298261665141702,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01579925650557623,0.0,0,0.00466853408029877,0.0
12535,1990-06-01,PK,21.79,6.0,0.01487148832529783,,,,,,,606.502118195298,,,,,,1.2134918345778003,-0.005022831050228271,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018298261665141702,0.0,0,0.01579925650557623,0.00466853408029877
12536,1990-07-01,PK,21.72,7.0,0.016651567071676254,,,,,,,507.006555048753,,,,,,0.9828520696328393,-0.0032124827902707542,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005022831050228271,0.0,0,0.0018298261665141702,0.01579925650557623
12537,1990-08-01,PK,21.74,8.0,0.02537312172353268,,,,,,,494.82520477319,,,,,,0.9948951667890931,0.0009208103130755596,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032124827902707542,0.0,0,-0.005022831050228271,0.0018298261665141702
12538,1990-09-01,PK,21.74,9.0,0.016879547387361526,,,,,,,436.84347583902,,,,,,1.4449861005194131,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009208103130755596,0.0,0,-0.0032124827902707542,-0.005022831050228271
12539,1990-10-01,PK,21.85,10.0,0.01925160922110081,,,,,,,154.948949808276,,,,,,4.285016963036178,0.0050597976080957174,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0009208103130755596,-0.0032124827902707542
12540,1990-11-01,PK,21.85,11.0,0.032710738480091095,,,,,,,189.9131247414,,,,,,4.184553778630601,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050597976080957174,0.0,0,0.0,0.0009208103130755596
12541,1990-12-01,PK,21.9,12.0,0.024312002584338188,,,,,,,295.910500633082,,,,,,2.0452539082172905,0.0022883295194506825,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0050597976080957174,0.0
12542,1991-01-01,PK,22.15,1.0,0.0062765381298959255,,,,0.14143709173530206,0.6948866463585719,0.14025245441795242,292.852764785216,-0.4467081131295697,,0.00017772043563391016,0.0897135556691846,-0.08809056106493462,2.096710738678547,0.011415525114155223,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022883295194506825,0.0,0,0.0,0.0050597976080957174
12543,1991-02-01,PK,22.15,2.0,0.011464152485132216,,,,0.13321662525412226,0.6948866463585719,0.08695652173913038,352.18199897721496,-0.3765245759949246,,-0.0007367559950109959,0.035158609795072016,-0.025454502590337547,1.7317385185899343,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011415525114155223,0.0,0,0.0022883295194506825,0.0
12544,1991-03-01,PK,22.95,3.0,0.01244845800101757,,,,0.13393558523173432,0.6948866463585719,0.2272089761570828,228.01573838469503,-0.5845637472205065,,-0.0010630891122646036,0.15965760919973437,0.25661200619150293,3.046278045935334,0.036117381489842115,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.011415525114155223,0.0022883295194506825
12545,1991-04-01,PK,23.5,4.0,0.006352406926453114,,,,0.14662447257384126,-0.42581977552196293,0.31165311653116534,309.703038266606,-0.4002698104715138,,-0.0012445047469027415,0.3380911293712754,0.16019191880297967,2.097239627693579,0.023965141612200425,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036117381489842115,0.0,0,0.0,0.011415525114155223
12546,1991-05-01,PK,23.8,5.0,0.008671160787343979,,,,0.13900608185852503,-0.42581977552196293,-0.2386666666666667,476.06489675516195,0.07343748188483401,,-0.0007819168911925578,0.41893187638343443,0.3759730179387599,1.5677987174718193,0.01276595744680864,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023965141612200425,0.0,0,0.036117381489842115,0.0
12547,1991-06-01,PK,24.3,6.0,0.012615478597581388,,,,0.1262765440103757,-0.42581977552196293,-0.22206896551724142,531.024344716986,-0.12444766673346985,,-0.0007071649123462365,0.25910215474382836,-0.1373055192974163,1.1956711989587476,0.021008403361344463,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01276595744680864,0.0,0,0.023965141612200425,0.036117381489842115
12548,1991-07-01,PK,24.65,7.0,0.0047671846114099034,,,,0.10531567145688503,-0.4390459880651876,-0.4746666666666667,570.7423227768741,0.12570994811298308,,-0.0007656213096319808,0.3222959215777079,0.648820528491383,1.4395774609590817,0.014403292181069949,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021008403361344463,0.0,0,0.01276595744680864,0.023965141612200425
12549,1991-08-01,PK,24.7,8.0,0.007937507703900337,,,,0.09183347291986066,-0.4390459880651876,-0.01866666666666661,526.775787151548,0.06456943193304587,,-0.002040343457943461,0.3302699596669556,0.4811075658429358,1.3841715857614174,0.0020283975659229903,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014403292181069949,0.0,0,0.021008403361344463,0.01276595744680864
12550,1991-09-01,PK,24.6,9.0,0.008625549264252186,,,,0.104811987803894,-0.4390459880651876,-0.12857142857142867,497.90971272229797,0.13978974223202378,,-0.002827528213202646,0.01931068051491347,-0.05427411622517919,1.1989586380027863,-0.004048582995951344,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020283975659229903,0.0,0,0.014403292181069949,0.021008403361344463
12551,1991-10-01,PK,24.68,10.0,0.005000486969947815,,,,0.10586592742941536,-0.24917614720969405,0.5585185185185184,368.568455431203,1.378644423774709,,-0.0035439807901141984,0.22937582631084386,0.08525905884275531,1.9550435659694623,0.003252032520325132,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004048582995951344,0.0,0,0.0020283975659229903,0.014403292181069949
12552,1991-11-01,PK,24.72,11.0,0.003612666158005595,,,,0.08374765795339756,-0.24917614720969405,0.27586206896551735,340.07720984177,0.7906988277131701,,-0.003349902463140486,-0.09261813595954427,-0.016111725464074134,2.299176909730531,0.0016207455429497752,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003252032520325132,0.0,0,-0.004048582995951344,0.0020283975659229903
12553,1991-12-01,PK,24.72,12.0,0.0048282467760145656,,,,0.0833517117114908,-0.24917614720969405,0.10499999999999998,526.524067001387,0.7793355283943009,,-0.0034252687565466955,0.06225528793661739,0.3866495771526519,1.5938817731350583,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016207455429497752,0.0,0,0.003252032520325132,-0.004048582995951344
12554,1992-01-01,PK,24.65,1.0,0.007774198427796364,,,,0.08108963104373812,-0.09651011923401887,-0.017220172201722117,391.33661706141294,0.33629135223779416,,-0.004079331405432263,-0.04162510873930059,0.3113760363428877,2.057617310208075,-0.0028317152103559673,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0016207455429497752,0.003252032520325132
12555,1992-02-01,PK,24.7,2.0,0.005501362960785627,,,,0.09550024575046745,-0.09651011923401887,0.07354838709677414,380.38897481219595,0.08009204308254803,,-0.0041274494055636435,0.22662391343733246,0.23273327461368032,1.9764720131660662,0.0020283975659229903,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028317152103559673,0.0,0,0.0,0.0016207455429497752
12556,1992-03-01,PK,24.98,3.0,0.006165201310068369,,,,0.0986581669418709,-0.09651011923401887,0.3165714285714285,560.373113854595,1.4576071714364107,,-0.0036185183875314664,0.25500176938657293,0.03690099427957971,1.2852699859417431,0.011336032388663986,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020283975659229903,0.0,0,-0.0028317152103559673,0.0
