country,0
Algeria,1147
Argentina,642
Armenia,1331
Australia,452
Austria,705
Bangladesh,1447
Belgium,133
Bolivia,1450
Brazil,238
Bulgaria,976
Canada,134
Chile,474
China,670
Colombia,805
Costa Rica,1315
Croatia,1020
Cyprus,1445
Czech Republic,417
Denmark,363
Ecuador,1145
El Salvador,1413
Estonia,468
Finland,170
France,147
Germany,134
Greece,632
Hungary,417
Iceland,1197
India,895
Indonesia,621
Ireland,124
Israel,456
Italy,341
Japan,60
Jordan,277
Kazakhstan,916
Latvia,1086
Lithuania,657
Luxembourg,921
Malawi,1396
Malaysia,768
Malta,1217
Mexico,229
Morocco,1382
Netherlands,61
New Zealand,1184
Nigeria,1482
Norway,457
Oman,1462
Pakistan,967
Peru,244
Philippines,137
Poland,207
Portugal,840
Romania,1472
Saudi Arabia,933
Singapore,74
Slovak Republic,666
Slovenia,966
South Africa,639
Spain,64
Sri Lanka,1151
Sweden,123
Switzerland,1054
Thailand,326
Tunisia,1121
Turkey,233
Uganda,1032
Ukraine,1211
United Kingdom,79
United States,61
Uruguay,1275
Vietnam,1032
