country_id;country;period; BANKING CRISIS (AT LEAST ONE);CURRENCY CRISIS (AT LEAST ONE);DEBT CRISIS (AT LEAST ONE);; BANKING CRISIS (AT LEAST TWO);CURRENCY CRISIS (AT LEAST TWO);DEBT CRISIS (AT LEAST TWO)
1;Australia;1970Q1;0;0;0;;0;0;0
1;Australia;1970Q2;0;0;0;;0;0;0
1;Australia;1970Q3;0;0;0;;0;0;0
1;Australia;1970Q4;0;0;0;;0;0;0
1;Australia;1971Q1;0;0;0;;0;0;0
1;Australia;1971Q2;0;0;0;;0;0;0
1;Australia;1971Q3;0;0;0;;0;0;0
1;Australia;1971Q4;0;0;0;;0;0;0
1;Australia;1972Q1;0;0;0;;0;0;0
1;Australia;1972Q2;0;0;0;;0;0;0
1;Australia;1972Q3;0;0;0;;0;0;0
1;Australia;1972Q4;0;0;0;;0;0;0
1;Australia;1973Q1;0;0;0;;0;0;0
1;Australia;1973Q2;0;0;0;;0;0;0
1;Australia;1973Q3;0;0;0;;0;0;0
1;Australia;1973Q4;0;0;0;;0;0;0
1;Australia;1974Q1;0;0;0;;0;0;0
1;Australia;1974Q2;0;0;0;;0;0;0
1;Australia;1974Q3;0;0;0;;0;0;0
1;Australia;1974Q4;0;0;0;;0;0;0
1;Australia;1975Q1;0;0;0;;0;0;0
1;Australia;1975Q2;0;0;0;;0;0;0
1;Australia;1975Q3;0;0;0;;0;0;0
1;Australia;1975Q4;0;0;0;;0;0;0
1;Australia;1976Q1;0;0;0;;0;0;0
1;Australia;1976Q2;0;0;0;;0;0;0
1;Australia;1976Q3;0;0;0;;0;0;0
1;Australia;1976Q4;0;0;0;;0;0;0
1;Australia;1977Q1;0;0;0;;0;0;0
1;Australia;1977Q2;0;0;0;;0;0;0
1;Australia;1977Q3;0;0;0;;0;0;0
1;Australia;1977Q4;0;0;0;;0;0;0
1;Australia;1978Q1;0;0;0;;0;0;0
1;Australia;1978Q2;0;0;0;;0;0;0
1;Australia;1978Q3;0;0;0;;0;0;0
1;Australia;1978Q4;0;0;0;;0;0;0
1;Australia;1979Q1;0;0;0;;0;0;0
1;Australia;1979Q2;0;0;0;;0;0;0
1;Australia;1979Q3;0;0;0;;0;0;0
1;Australia;1979Q4;0;0;0;;0;0;0
1;Australia;1980Q1;0;0;0;;0;0;0
1;Australia;1980Q2;0;0;0;;0;0;0
1;Australia;1980Q3;0;0;0;;0;0;0
1;Australia;1980Q4;0;0;0;;0;0;0
1;Australia;1981Q1;0;0;0;;0;0;0
1;Australia;1981Q2;0;0;0;;0;0;0
1;Australia;1981Q3;0;0;0;;0;0;0
1;Australia;1981Q4;0;0;0;;0;0;0
1;Australia;1982Q1;0;0;0;;0;0;0
