year;FIMM_PA;BCAXF_BP6_USD;NGDP_R_K_IX;credit_private;debt_service;month;couprisk;gdp_growth;credit_growth;inflation;stock_growth;exchange_change;exchange_12a;industrial_growth;commodities_growth;reserves_gdp;imports_gdp;exports_gdp;year2;Country_AF;Country_BD;Country_BO;Country_BR;Country_CH;Country_CL;Country_CO;Country_CR;Country_DZ;Country_EC;Country_EG;Country_ET;Country_GH;Country_ID;Country_IN;Country_KR;Country_MA;Country_MM;Country_MX;Country_MY;Country_NG;Country_PH;Country_PK;Country_PY;Country_RU;Country_SA;Country_SD;Country_TH;Country_TR;Country_TZ;Country_UA;Country_UG;Country_UY;Country_UZ;Country_VN;Country_ZA
01/01/1990;;;;;;-1.582132038;0.454197034;;;;;;;;;;;;19900101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/1990;;;;;;-1.292101654;0.579370518;;;;;-0.088133426;;;;;;;19900201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/03/1990;;;;;;-1.00207127;0.359712024;;;;;-0.088133426;;;;;;;19900301;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/04/1990;;;;;;-0.712040886;0.88247153;;;;;-0.088133426;;;;;;;19900401;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/05/1990;;;;;;-0.422010502;0.793684925;;;;;-0.088133426;;;;;;;19900501;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/06/1990;;;;;;-0.131980119;1.089913006;;;;;-0.088133426;;;;;;;19900601;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/1990;;;;;;0.158050265;0.970952732;;;;;-0.088133426;;;;;;;19900701;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/1990;;;;;;0.448080649;1.734440042;;;;;-0.088133426;;;;;;;19900801;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/09/1990;;;;;;0.738111033;0.889333219;;;;;-0.088133426;;;;;;;19900901;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/10/1990;;;;;;1.028141417;1.166461547;;;;;-0.088133426;;;;;;;19901001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/1990;;;;;;1.318171801;1.867892103;;;;;-0.088133426;;;;;;;19901101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/12/1990;;;;;;1.608202185;1.774646871;;;;;-0.088133426;;;;;;;19901201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/1991;;;;;;-1.582132038;0.96211351;;;;;-0.088133426;-0.290175015;;-0.236337545;;;;19910101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/1991;;;;;;-1.292101654;1.077743749;;;;;-0.088133426;-0.290175015;;-0.527145391;;;;19910201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/03/1991;;;;;;-1.00207127;1.238660437;;;;;-0.088133426;-0.290175015;;-0.639976954;;;;19910301;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/04/1991;;;;;;-0.712040886;0.737425655;;;;;-0.088133426;-0.290175015;;-0.556128009;;;;19910401;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/05/1991;;;;;;-0.422010502;1.008106099;;;;;-0.088133426;-0.290175015;;-0.543788904;;;;19910501;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/06/1991;;;;;;-0.131980119;1.180667919;;;;;-0.088133426;-0.290175015;;-0.540047956;;;;19910601;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/1991;;;;;;0.158050265;0.802086125;;;;;-0.088133426;-0.290175015;;-0.659438889;;;;19910701;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/1991;;;;;;0.448080649;0.847795413;;;;;-0.088133426;-0.290175015;;-0.933677003;;;;19910801;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/09/1991;;;;;;0.738111033;1.449654323;;;;;-0.088133426;-0.290175015;;-1.130275738;;;;19910901;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/10/1991;;;;;;1.028141417;0.988083216;;;;;-0.088133426;-0.290175015;;-1.065307452;;;;19911001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/1991;;;;;;1.318171801;0.527444849;;;;;-0.088133426;-0.290175015;;-1.007584915;;;;19911101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/12/1991;;;;;;1.608202185;0.485148531;;;;;-0.088133426;-0.290175015;;-1.110266304;;;;19911201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/1992;;;;;;-1.582132038;0.835638841;;;;;-0.088133426;-0.290175015;;-1.175608501;;;;19920101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/1992;;;;;;-1.292101654;0.900357548;;;;;-0.088133426;-0.290175015;;-0.909481405;;;;19920201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/03/1992;;;;;;-1.00207127;0.91957877;;;;;-0.088133426;-0.290175015;;-0.8253382;;;;19920301;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/04/1992;;;;;;-0.712040886;1.218136108;;;;;-0.088133426;-0.290175015;;-0.735864493;;;;19920401;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/05/1992;;;;;;-0.422010502;4.8388651;;;;;-0.088133426;-0.290175015;;-0.654139949;;;;19920501;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
