BCAXF_BP6_USD,FIGB_PA,credit_government,credit_private,debt_service,House_prices,gdp_growth,credit_growth,inflation,stock_growth,credit_gap,house_gap,house_growth,Country_AT,Country_BE,Country_DE,Country_DK,Country_ES,Country_FI,Country_FR,Country_GB,Country_GR,Country_IE,Country_IT,Country_LU,Country_NL,Country_PT,Country_SE,three_year
,8.793333333,,66.7,,,,0.057052298,0.038721534,-0.096701164,69.15240371,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.67,,88,,,,0.052631579,0.05642272,,84.87881005,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2779.865127,5.366666666,,89.1,,,,0.011350738,0.03001015,0.109239203,91.83501344,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-547.3489072,,,122,,,,-0.011345219,0.126300625,,118.9450661,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66.38464043,,,87.6,,106.1580584,,0.052884615,0.094162646,-0.116022099,84.31312875,105.5456047,-0.067679677,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
496.1700995,9.91,,110.2,,75.81639241,0.034301423,0.040604344,0.092047804,-0.027359781,105.2550187,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-774.6744423,11.51,,55.9,,,0.02366078,-0.007104796,0.094964726,0.218484651,53.25061561,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-484,,,46.4,,,,0.071593533,0.136253216,,45.62593226,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,67.5,,90.80029529,,-0.046610169,0.081218288,0.654292839,72.00296327,,0.114410913,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
315.6013831,,,64.4,,104.2663466,,-0.086524823,0.128704038,-0.100297638,61.71034764,109.3731125,-0.11167686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6.606666666,,,,,,,0.034167306,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.798722908,7.576666666,,100.7,,,,0.123883929,0.046004816,-0.028708134,102.2736296,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-254.1323338,14.81,,109.2,,,,-0.022381379,0.210160746,,113.8610234,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-142.3149905,9.936666666,,105.9,,86.11663753,0.004262057,0.022200772,0.135769619,-0.083791645,101.4478993,79.72006026,0.021873824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,8.233333333,,68.3,,,,0.055641422,0.036307882,-0.09783643,69.76355416,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.256666666,,90.7,,,,0.063305979,0.044495735,,84.88303577,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823.449162,5.399999999,,90,,,,0.011235955,0.028686469,0.044951723,92.18871907,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-129.1882964,,,121.3,,,,-0.018608414,0.109213253,,119.1553592,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110.5102281,,,87.5,,105.4948521,,0.041666667,0.084231817,-0.046242775,84.95827512,105.4855395,-0.053202828,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2709.568163,9.626666667,,109,,75.41632731,0.041837408,0.031220435,0.089871247,0.354071826,105.5069305,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
612.7012616,12.63333333,,56.4,,,0.040817546,0,0.076796143,0.137617371,54.09701732,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-279,,,46.8,,,,0.051685393,0.132250742,,45.51918801,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,66,,96.81283847,,-0.043478261,0.063725612,0.563005561,72.00401193,,0.187005961,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1500.487021,,,61.6,,104.7541473,,-0.104651163,0.120818793,0.00690149,61.4904825,108.9584988,-0.078749091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6.576666666,,,,,,,0.028988374,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-439.9328256,7.339999999,,104.3,,,,0.132464712,0.035444294,-0.048144433,103.4464223,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-235.1580571,16.27666667,,110.8,,,,0.032618826,0.18292097,,113.566635,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64.91164805,10.23,,106.3,,86.96718835,0.023019976,0.004725898,0.109353424,-0.008207507,101.9273949,79.2679111,0.023888514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,7.869999999,,69.9,,,,0.07208589,0.033232094,-0.057250045,70.37328113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.306666666,,91.5,,,,0.063953488,0.039835556,,84.88685664,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328.356226,5.999999999,,90,,,,0.00896861,0.025087806,0.095340456,92.54194182,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-285.7419312,,,121.1,,,,-0.015447154,0.095381366,,119.367935,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156.0735603,,,87.8,,98.8828787,,0.024504084,0.067452474,-0.03021148,85.60447135,105.4265343,-0.094555344,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1536.3224,9.296666667,,106.7,,75.34029789,0.04005267,0.007554297,0.093002227,0.478425794,105.75992,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1143.210996,12.63666667,,55.6,,,0.057690682,-0.003584229,0.078491467,0.119490175,54.94631589,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-56,,,45.9,,,,0.022271715,0.120649799,,45.41135181,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
