country,FM2_XDC,RAXGFX_USD,LUR_PT,TXG_FOB_USD,TMG_CIF_USD,FDSAOP_XDC,AIP_IX,ENDE_XDC_USD_RATE,FMB_XDC,FIMM_PA,EREER_IX,FILR_PA,FISR_PA,FDSF_XDC,FDSB_XDC,RAXG_USD,PCPI_IX,FASMB_XDC,PCTOT,NGDP_XDC,BGS_BP6_USD,BCAXF_BP6_USD,DSTKMKTXD,month,couprisk,GGXWDG_NGDP,GGXCNL_NGDP
Afghanistan,2006-12-01,1990-01-01,,,,2006-12-01,,1990-01-01,2006-12-01,2006-12-01,,2006-12-01,2006-12-01,2006-12-01,2006-12-01,1990-01-01,2004-03-01,2006-12-01,1990-01-01,,2008-04-01,2008-04-01,,1990-01-01,1990-01-01,2002-01-01,2002-01-01
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2001-01-01,1990-01-01,2018-04-01,2007-01-01,2007-01-01,2001-12-01,,1990-01-01,2001-12-01,1994-03-01,1990-01-01,1990-01-01,,2001-12-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,1990-01-01,,2014-01-01,2014-01-01,,1990-01-01,1990-01-01,1991-01-01,1990-01-01
Angola,1999-12-01,1995-12-01,,1992-01-01,2006-01-01,2001-12-01,,1990-01-01,2001-12-01,2005-01-01,,1995-01-01,,2001-12-01,2001-12-01,1995-12-01,1991-01-01,2001-12-01,1990-01-01,,2012-01-01,2012-01-01,,1990-01-01,1990-01-01,2000-01-01,1996-01-01
Argentina,1998-01-01,1990-01-01,,1990-01-01,1990-01-01,,,1990-01-01,,1990-01-01,,1993-04-01,1991-01-01,,,1990-01-01,,,1990-01-01,1993-01-01,1990-01-01,1990-01-01,1996-01-01,1990-01-01,1990-01-01,1992-01-01,1993-01-01
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,1995-12-01,1992-12-01,,1994-03-01,1994-03-01,2001-12-01,,1992-12-01,2001-12-01,,,1998-12-01,,2001-12-01,2001-12-01,1992-12-01,1992-01-01,2001-12-01,1992-01-01,2001-01-01,1999-01-01,1999-01-01,,1991-09-01,1991-09-01,1995-01-01,1994-01-01
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,1999-01-01,1990-01-01,,1990-01-01,1990-01-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,1997-06-01,,1990-01-01,1990-01-01,2001-12-01,2001-12-01,1990-01-01,1993-07-01,2001-12-01,1990-01-01,,1990-01-01,1990-01-01,,1990-01-01,1990-01-01,2003-01-01,1990-01-01
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1990-01-01,1990-01-01,1992-01-01,1990-01-01,1990-01-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,1990-01-01,1990-01-01,1997-01-01,1990-01-01,2001-12-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,1990-01-01,1991-01-01,1990-01-01,1990-01-01,1994-01-01,1990-01-01,1990-01-01,2000-01-01,1996-01-01
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,1995-12-01,1991-12-01,1992-03-01,1995-01-01,1995-01-01,2001-12-01,2000-01-01,1990-03-01,2005-12-01,1991-01-01,1993-01-01,1992-01-01,,2001-12-01,2004-02-01,1991-12-01,1991-01-01,2001-12-01,1990-01-01,1994-01-01,1991-01-01,1991-01-01,2000-10-01,1990-01-01,1990-01-01,1998-01-01,1998-01-01
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,1997-12-01,1990-01-01,1990-01-01,1990-01-01,1990-01-01,1997-12-01,1997-01-01,1990-01-01,1997-12-01,1999-12-01,1990-01-01,1990-01-01,1990-01-01,1997-12-01,1997-12-01,1990-01-01,1990-01-01,1997-12-01,1990-01-01,1996-01-01,1991-01-01,1991-01-01,2003-01-01,1990-01-01,1990-01-01,1991-01-01,1990-01-01
China,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1990-01-01,1990-01-01,2001-01-01,1990-01-01,1990-01-01,2001-12-01,,1990-01-01,2001-12-01,1995-03-01,1990-01-01,1990-01-01,,2001-12-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,1990-01-01,2005-01-01,1996-01-01,1996-01-01,2001-07-01,1990-01-01,1990-01-01,1996-01-01,1990-01-01
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1990-01-01,1990-01-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,2000-01-01,1990-01-01,2001-01-01,,1990-01-01,1990-01-01,,2001-12-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,1990-01-01,1991-01-01,1999-01-01,1999-01-01,,1990-01-01,1990-01-01,1996-01-01,1990-01-01
Croatia,,1992-12-01,2000-01-01,1993-01-01,1993-01-01,2001-12-01,1996-03-01,1992-01-01,2001-12-01,1992-01-01,1997-01-01,1993-01-01,,2001-12-01,2001-12-01,1992-12-01,1990-01-01,2001-12-01,1992-01-01,1997-01-01,1993-01-01,1993-01-01,1997-09-01,1991-06-01,1991-06-01,1998-01-01,1992-01-01
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,2002-01-01,1993-01-01,1993-01-01,1993-01-01,2004-05-01,2001-01-01,1993-01-01,1993-01-01,2002-03-01,1993-01-01,1990-01-01,1993-01-01,,2001-01-01,2002-01-01,1993-01-01,1991-01-01,2001-01-01,1995-01-01,1995-01-01,1993-01-01,1993-01-01,1993-09-01,1993-01-01,1993-01-01,1995-01-01,1995-01-01
Cte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,2000-12-01,1990-01-01,,1990-01-01,,2000-12-01,,1990-01-01,2000-12-01,2007-01-01,1992-01-01,2006-01-01,,2000-12-01,2000-12-01,1990-01-01,1990-01-01,2000-12-01,1990-01-01,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,2001-12-01,1990-01-01,,1990-01-01,1990-01-01,2001-12-01,,1990-01-01,2001-12-01,1996-01-01,1990-01-01,1991-12-01,1991-12-01,2001-12-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,1990-01-01,2007-01-01,2011-01-01,2011-01-01,,1990-01-01,1990-01-01,1997-01-01,1997-01-01
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1998-06-01,1990-01-01,,1990-01-01,1990-01-01,2004-01-01,2010-01-01,1990-01-01,2004-01-01,,,1990-01-01,,2001-12-01,2001-12-01,1990-01-01,1990-01-01,2001-12-01,1990-01-01,2002-01-01,2011-01-01,2011-01-01,,1990-01-01,1990-01-01,1998-01-01,1999-01-01
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,
