;year;ISO2 Code;ENDE_XDC_USD_RATE;exchange_change;exchange_change_12m;pred;precrisis;<0.1;>0.1;>0.2;>0.3;>0.4;>0.5;>0.6;>0.7;>0.8;>0.9;;;;;;;;;;;;;
0;01/01/1991;AF;42.82278;0;0;0.034087412;0;0;;;;;;;;;;;;;;;;;;;;;;
1;01/01/1991;AO;2.99E-08;0;0;0.6633464;1;;0;0;0;0;0;0;;;;;Tresholds;<10%;10%;20%;30%;40%;50%;60%;70%;80%;90%;
2;01/01/1991;AR;0.942;0.089756098;4.050938338;0.11422974;1;;0.089756098;;;;;;;;;;Mean Currency Change;0.003625223;0.092801835;0.148644531;0.164363002;0.206506161;0.228420064;0.24121352;0.269453397;0.281718354;0.338148717;
3;01/01/1991;AZ;;0.036180205;;0.34195846;0;;0.036180205;0.036180205;0.036180205;;;;;;;;Standard Deviation;0.032321836;0.609612618;0.805606017;0.574338995;0.649655883;0.690354743;0.722716917;0.778852363;0.750444915;0.895510519;
4;01/01/1991;BD;35.79;0;0.109079641;0.046947695;0;0;;;;;;;;;;;Number of Observations;14793;2158;1195;878;645;561;489;414;334;226;
5;01/01/1991;BG;0.00288;0;;0.7897059;1;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
6;01/01/1991;BR;8.01E-05;0.223550549;11.4155434;0.87597144;1;;0.223550549;0.223550549;0.223550549;0.223550549;0.223550549;0.223550549;0.223550549;0.223550549;;;;;;;;;;;;;;
7;01/01/1991;CD;7.85E-09;0.502257141;3.969221026;0.94832814;1;;0.502257141;0.502257141;0.502257141;0.502257141;0.502257141;0.502257141;0.502257141;0.502257141;0.502257141;;;;;;;;;;;;;
8;01/01/1991;CL;337.38;0.017120082;0.14211239;0.023935217;0;0.017120082;;;;;;;;;;;;;;;;;;;;;;
9;01/01/1991;CO;578.96;0.02192155;0.299019498;0.023671297;0;0.02192155;;;;;;;;;;;;;;;;;;;;;;
10;01/01/1991;CR;108.025;0.026009413;0.271630371;0.19662757;0;;0.026009413;;;;;;;;;;;;;;;;;;;;;
11;01/01/1991;CZ;;0.002960897;;0.29999;0;;0.002960897;0.002960897;;;;;;;;;;;;;;;;;;;;
12;01/01/1991;DO;12;0;0.892744479;0.11659504;0;;0;;;;;;;;;;;;;;;;;;;;;
13;01/01/1991;DZ;15.8889;0.113813487;0.993138313;0.47748715;1;;0.113813487;0.113813487;0.113813487;0.113813487;;;;;;;;;;;;;;;;;;
