,year,ISO2 Code,ENDE_XDC_USD_RATE,FASMB_XDC,FDSB_XDC,FDSF_XDC,FIMM_PA,PCPI_IX,RAXG_USD,TMG_CIF_XDC,TXG_FOB_XDC,ISO Code
0,1990-01,AF,42.82278,,,,,,254.882926641746,,,AFG
1,1990-02,AF,42.82278,,,,,,253.055987279599,,,AFG
2,1990-03,AF,42.82278,,,,,,237.475415615162,,,AFG
3,1990-04,AF,42.82278,,,,,,248.63301639814,,,AFG
4,1990-05,AF,42.82278,,,,,,255.341546858395,,,AFG
5,1990-06,AF,42.82278,,,,,,249.485329379369,,,AFG
6,1990-07,AF,42.82278,,,,,,256.881498101767,,,AFG
7,1990-08,AF,42.82278,,,,,,276.173963660555,,,AFG
8,1990-09,AF,42.82278,,,,,,256.021218493246,,,AFG
9,1990-10,AF,42.82278,,,,,,279.33580552853,,,AFG
10,1990-11,AF,42.82278,,,,,,268.106753270841,,,AFG
11,1990-12,AF,42.82278,,,,,,266.400667368511,,,AFG
12,1991-01,AF,42.82278,,,,,,280.056718126776,,,AFG
13,1991-02,AF,42.82278,,,,,,286.623370077845,,,AFG
14,1991-03,AF,42.82278,,,,,,280.003240976345,,,AFG
15,1991-04,AF,42.82278,,,,,,277.463889678475,,,AFG
16,1991-05,AF,42.82278,,,,,,269.214532046125,,,AFG
17,1991-06,AF,42.82278,,,,,,244.131464100744,,,AFG
18,1991-07,AF,42.82278,,,,,,245.053675729036,,,AFG
19,1991-08,AF,42.82278,,,,,,249.266398154957,,,AFG
20,1991-09,AF,42.82278,,,,,,257.135170998632,,,AFG
21,1991-10,AF,42.82278,,,,,,253.540462017792,,,AFG
22,1991-11,AF,42.82278,,,,,,252.989679673046,,,AFG
23,1991-12,AF,42.82278,,,,,,234.894920253472,,,AFG
24,1992-01,AF,42.82278,,,,,,226.87848529309,,,AFG
25,1992-02,AF,42.82278,,,,,,229.856756517897,,,AFG
26,1992-03,AF,42.82278,,,,,,226.682592592593,,,AFG
27,1992-04,AF,42.82278,,,,,,,,,AFG
28,1992-05,AF,42.82278,,,,,,,,,AFG
29,1992-06,AF,42.82278,,,,,,,,,AFG
30,1992-07,AF,42.82278,,,,,,,,,AFG
31,1992-08,AF,42.82278,,,,,,,,,AFG
32,1992-09,AF,42.82278,,,,,,,,,AFG
33,1992-10,AF,42.82278,,,,,,,,,AFG
34,1992-11,AF,42.82278,,,,,,,,,AFG
35,1992-12,AF,42.82278,,,,,,,,,AFG
36,1993-01,AF,42.82278,,,,,,,,,AFG
37,1993-02,AF,42.82278,,,,,,,,,AFG
38,1993-03,AF,42.82278,,,,,,,,,AFG
39,1993-04,AF,42.82278,,,,,,,,,AFG
40,1993-05,AF,42.82278,,,,,,,,,AFG
41,1993-06,AF,42.82278,,,,,,,,,AFG
42,1993-07,AF,42.82278,,,,,,,,,AFG
43,1993-08,AF,42.82278,,,,,,,,,AFG
44,1993-09,AF,42.82278,,,,,,,,,AFG
45,1993-10,AF,42.82278,,,,,,,,,AFG
46,1993-11,AF,42.82278,,,,,,,,,AFG
47,1993-12,AF,42.82278,,,,,,,,,AFG
48,1994-01,AF,42.365778,,,,,,,,,AFG
49,1994-02,AF,42.365778,,,,,,,,,AFG
50,1994-03,AF,42.315,,,,,,,,,AFG
51,1994-04,AF,42.315,,,,,,,,,AFG
52,1994-05,AF,42.315,,,,,,,,,AFG
53,1994-06,AF,42.315,,,,,,,,,AFG
54,1994-07,AF,42.315,,,,,,,,,AFG
55,1994-08,AF,42.315,,,,,,,,,AFG
56,1994-09,AF,42.315,,,,,,,,,AFG
57,1994-10,AF,42.315,,,,,,,,,AFG
58,1994-11,AF,42.315,,,,,,,,,AFG
59,1994-12,AF,42.315,,,,,,,,,AFG
60,1995-01,AF,34.63,,,,,,,,,AFG
61,1995-02,AF,34.63,,,,,,,,,AFG
62,1995-03,AF,34.63,,,,,,,,,AFG
63,1995-04,AF,34.63,,,,,,,,,AFG
64,1995-05,AF,34.63,,,,,,,,,AFG
65,1995-06,AF,34.63,,,,,,,,,AFG
66,1995-07,AF,34.63,,,,,,,,,AFG
67,1995-08,AF,34.63,,,,,,,,,AFG
68,1995-09,AF,34.63,,,,,,,,,AFG
69,1995-10,AF,44.42,,,,,,,,,AFG
70,1995-11,AF,44.42,,,,,,,,,AFG
71,1995-12,AF,47.5,,,,,,,,,AFG
72,1996-01,AF,47.5,,,,,,,,,AFG
73,1996-02,AF,47.5,,,,,,,,,AFG
74,1996-03,AF,47.5,,,,,,,,,AFG
75,1996-04,AF,47.5,,,,,,,,,AFG
76,1996-05,AF,47.5,,,,,,,,,AFG
77,1996-06,AF,47.5,,,,,,,,,AFG
78,1996-07,AF,47.5,,,,,,,,,AFG
79,1996-08,AF,47.5,,,,,,,,,AFG
80,1996-09,AF,47.5,,,,,,,,,AFG
