Country,Unnamed: 0,TIME,nominalgdp,housepi,fixedcap,accountgdp,NOMexchange,REexchange,industrialprod,stock,unemployment,foreignreserver,CPI
Canada,5020,1990-02-01,,,,,,,,,7.7,,66.604
Japan,18205,1990-02-01,,,,,,,,,2.224679,,93.29809
Lithuania,20361,1990-02-01,,,,,,,,,,,
Luxembourg,20723,1990-02-01,,,,,,,,,,,64.36641999999999
Latvia,21085,1990-02-01,,,,,,,,,,,
Mexico,22171,1990-02-01,,,,,,,,,,,10.82414
Italy,17000,1990-02-01,,,,,,,,,,,55.18874
Hungary,14312,1990-02-01,,,,,,,,,,,
Saudi Arabia,29289,1990-02-01,,,,,,,,,,,70.9009
Israel,16559,1990-02-01,,,,,,,,,,,30.70115
France,10927,1990-02-01,,,,,,,,,7.696296,,70.80587
Estonia,10045,1990-02-01,,,,,,,,,0.7,,
Spain,9683,1990-02-01,,,,,,,,,15.8,,51.24832
South Africa,35072,1990-02-01,,,,,,,,,,,24.63264
Slovenia,30737,1990-02-01,,,,,,,,,,,
Sweden,31178,1990-02-01,,,,,,,,,1.9598470000000001,,66.06929000000001
Turkey,32264,1990-02-01,,,,,,,,,,,0.058566999999999994
Greece,12502,1990-02-01,,,,,,,,,,,28.09532
United States,33879,1990-02-01,,,,,,,,,5.3,,58.85381999999999
Finland,10486,1990-02-01,,,,,,,,,2.615326,,70.83614
Netherlands,25146,1990-02-01,,,,,,,,,,,64.4751
United Kingdom,11428,1990-02-01,,,,,,,,,6.9,,61.49533
Norway,25587,1990-02-01,,,,,,,,,5.9,,64.58333
Iceland,16197,1990-02-01,,,,,,,,,,,
Switzerland,5461,1990-02-01,,,,,,,,18.45491,0.4568,,74.0454
Chile,5823,1990-02-01,,,,,,,,,,,27.25419
Colombia,6554,1990-02-01,,,,,,,,,,,8.569616
Denmark,8522,1990-02-01,,,,,,,,,,,66.22819
Germany,8081,1990-02-01,,,,,,,,,,,67.42179
Costa Rica,6916,1990-02-01,,,,,,,,,,,7.93343
Argentina,365,1990-02-01,,,,,,,,,,,
Australia,1206,1990-02-01,,,,,,,,,6.406219,,
Czech Republic,7640,1990-02-01,,,,,,,,,,,
Ireland,15477,1990-02-01,,,,,,,,,13.7,,60.64585
Belgium,2009,1990-02-01,,,,,,,,,6.749932,,66.39466
Brazil,4181,1990-02-01,,,,,,,,,,,0.000321
Indonesia,14674,1990-02-01,,,,,,,,,,,12.54802
Portugal,27479,1990-02-01,,,,,,,,,,,46.32378
Poland,27110,1990-02-01,,,,,,,,,0.7,,5.324639
India,15036,1990-02-01,,,,,,,,,,,
Austria,1568,1990-02-01,,,,,,,,,,,65.41174000000001
New Zealand,26024,1990-02-01,,,,,,,,,7.1610309999999995,,
Spain,9684,1990-03-01,,,,,,,,,15.6,,51.41656
Norway,25588,1990-03-01,,,,,,,,,5.8,,65.02193
Turkey,32265,1990-03-01,,,,,,,,,,,0.061416
Denmark,8523,1990-03-01,,,,,,,,,,,66.36291
Switzerland,5462,1990-03-01,,,,,,,,17.44364,0.44516999999999995,,74.34241999999999
Argentina,366,1990-03-01,,,,,,,,,,,
Brazil,4182,1990-03-01,,,,,,,,,,,0.000633
Japan,18206,1990-03-01,,,,,,,,,1.991986,,93.35670999999999
Ireland,15478,1990-03-01,,,,,,,,,13.4,,60.8095
Finland,10487,1990-03-01,,,,,,,,,3.13525,,70.97648000000001
Sweden,31179,1990-03-01,,,,,,,,,1.9766849999999998,,67.70196
Portugal,27480,1990-03-01,,,,,,,,,,,46.657140000000005
United States,33880,1990-03-01,,,,,,,,,5.2,,59.1297
Latvia,21086,1990-03-01,,,,,,,,,,,
India,15037,1990-03-01,,,,,,,,,,,
Poland,27111,1990-03-01,,,,,,,,,1.6,,5.511483
Belgium,2010,1990-03-01,,,,,,,,,6.670389,,66.6263
Costa Rica,6917,1990-03-01,,,,,,,,,,,8.092423
United Kingdom,11429,1990-03-01,,,,,,,,,6.9,,61.73944
Greece,12503,1990-03-01,,,,,,,,,,,28.677690000000002
Australia,1207,1990-03-01,,,,,,,,,6.2264800000000005,,
Estonia,10046,1990-03-01,,,,,,,,,0.7,,
Saudi Arabia,29290,1990-03-01,,,,,,,,,,,71.03430999999999
Italy,17001,1990-03-01,,,,,,,,,,,55.38417
Colombia,6555,1990-03-01,,,,,,,,,,,8.774692
Indonesia,14675,1990-03-01,,,,,,,,,,,12.58644
Czech Republic,7641,1990-03-01,,,,,,,,,,,
Mexico,22172,1990-03-01,,,,,,,,,,,11.03952
Chile,5824,1990-03-01,,,,,,,,,,,27.874370000000003
Germany,8082,1990-03-01,,,,,,,,,,,67.42179
South Africa,35073,1990-03-01,,,,,,,,,,,24.9435
