,year,ISO2 Code,AIP_SA_IX,ENDE_XDC_USD_RATE,FIMM_PA,PCPI_IX,RAFAGOLDV_OZT,RAXG_USD,TMG_CIF_XDC,TXG_FOB_XDC,ISO Code,PCTOT,BCAXF_BP6_USD,FASMB_XDC,NGDP_R_K_IX,level_0,country_x,IXOB,BORROWERS_CTY_x,Year_x,General government,Private non-financial sector,BORROWERS_CTY_y,Year_y,debt_service,country_y,month,couprisk
0,1990-01-01,AF,,42.82278,,,0.965,254.882926641746,,,AFG,99.4426116943359,,,,,,,,,,,,,,Afghanistan,01,0.00659801671281457
1,1990-02-01,AF,,42.82278,,,0.965,253.055987279599,,,AFG,99.4375839233398,,,,,,,,,,,,,,Afghanistan,02,0.007204560097306967
2,1990-03-01,AF,,42.82278,,,0.965,237.475415615162,,,AFG,99.4433441162109,,,,,,,,,,,,,,Afghanistan,03,0.006140178069472313
3,1990-04-01,AF,,42.82278,,,0.965,248.63301639814,,,AFG,99.4496536254883,,,,,,,,,,,,,,Afghanistan,04,0.008673273026943207
4,1990-05-01,AF,,42.82278,,,0.965,255.341546858395,,,AFG,99.4599533081055,,,,,,,,,,,,,,Afghanistan,05,0.008243046700954437
5,1990-06-01,AF,,42.82278,,,0.965,249.485329379369,,,AFG,99.4503402709961,,,,,,,,,,,,,,Afghanistan,06,0.009678456000983715
6,1990-07-01,AF,,42.82278,,,0.965,256.881498101767,,,AFG,99.4588775634766,,,,,,,,,,,,,,Afghanistan,07,0.009102019481360912
7,1990-08-01,AF,,42.82278,,,0.965,276.173963660555,,,AFG,99.4668502807617,,,,,,,,,,,,,,Afghanistan,08,0.012801590375602244
8,1990-09-01,AF,,42.82278,,,0.965,256.021218493246,,,AFG,99.4782638549805,,,,,,,,,,,,,,Afghanistan,09,0.008706522174179554
9,1990-10-01,AF,,42.82278,,,0.965,279.33580552853,,,AFG,99.4658737182617,,,,,,,,,,,,,,Afghanistan,10,0.01004938129335642
10,1990-11-01,AF,,42.82278,,,0.965,268.106753270841,,,AFG,99.4435577392578,,,,,,,,,,,,,,Afghanistan,11,0.013448248617351057
11,1990-12-01,AF,,42.82278,,,0.965,266.400667368511,,,AFG,99.4283447265625,,,,,,,,,,,,,,Afghanistan,12,0.012996417470276356
12,1991-01-01,AF,,42.82278,,,0.965,280.056718126776,,,AFG,99.4165115356445,,,,,,,,,,,,,,Afghanistan,01,0.009059187956154345
13,1991-02-01,AF,,42.82278,,,0.965,286.623370077845,,,AFG,99.3616714477539,,,,,,,,,,,,,,Afghanistan,02,0.00961948838084936
14,1991-03-01,AF,,42.82278,,,0.965,280.003240976345,,,AFG,99.3480987548828,,,,,,,,,,,,,,Afghanistan,03,0.010399229824543001
15,1991-04-01,AF,,42.82278,,,0.965,277.463889678475,,,AFG,99.368766784668,,,,,,,,,,,,,,Afghanistan,04,0.007970435544848442
