country,year,DPANUSLCU,TOT,TOTRESV,UNEMPSA_,IPTOTSAKD,DXGSRMRCHSAKD,DSTKMKTXD,DMGSRMRCHSAKD,CPTOTSAXN
Afghanistan,2019M09,,,,,,,,,
Afghanistan,2019M08,,,,,,,,,
Afghanistan,2019M07,,,,,,,,,
Afghanistan,2019M06,,,,,,,,,
Afghanistan,2019M05,78.4,,,,,,,,
Afghanistan,2019M04,76.67,,,,,,,,
Afghanistan,2019M03,74.96,,,,,,,,
Afghanistan,2019M02,74.92,,,,,,,,
Afghanistan,2019M01,75.44,,,,,,,,
Afghanistan,2018M12,75.81,,,,,,,,
Afghanistan,2018M11,75.53,,,,,,,,154.46425628193
Afghanistan,2018M10,75.75,,,,,,,,154.19378073953
Afghanistan,2018M09,72.44,,,,,,,,153.25946961663
Afghanistan,2018M08,72.91,,,,,,,,153.13067387945
Afghanistan,2018M07,72.91,,,,,,,,152.9728181725
Afghanistan,2018M06,71.5,,,,,,,,152.60387131026
Afghanistan,2018M05,70.69,,,,,,,,152.49331204289
Afghanistan,2018M04,69.66,,,,,,,,152.41139925718
Afghanistan,2018M03,69.13,,,,,,,,153.6187638085
Afghanistan,2018M02,68.89,,,,,,,,153.86208998433
Afghanistan,2018M01,69.78,,,,,,,,153.59190194058
Afghanistan,2017M12,69.03,,,,,,,,152.85035366896
Afghanistan,2017M11,68.52,,,,,,,,152.74008906025
Afghanistan,2017M10,68.25,,,,,,,,152.95590764851
Afghanistan,2017M09,68.53,,,,,,,,152.90909753961
Afghanistan,2017M08,68.51,,,,,,,,152.91549940923
Afghanistan,2017M07,68.32,,,,,,,,153.20702318746
Afghanistan,2017M06,68.19,,,,,,,,155.1663463369
Afghanistan,2017M05,67.83,,,,,,,,154.13776622746
Afghanistan,2017M04,67.56,,,,,,,,153.19227884998
Afghanistan,2017M03,67.83,,,,,,,,153.41549413581
Afghanistan,2017M02,66.89,,,,,,,,148.61415650291
Afghanistan,2017M01,66.85,,,,,,,,147.18068608565
Afghanistan,2016M12,66.68,,,,,,,,148.22844286752
Afghanistan,2016M11,66.2,,,,,,,,148.09043401408
Afghanistan,2016M10,66.07,,,,,,,,147.43774908641
Afghanistan,2016M09,66.86,,,,,,,,147.34738275382
Afghanistan,2016M08,67.83,,,,,,,,146.17705322405
Afghanistan,2016M07,68.72,,,,,,,,145.80696704349
Afghanistan,2016M06,69.11,,,,,,,,144.47880770756
Afghanistan,2016M05,68.49,,,,,,,,143.47735783905
Afghanistan,2016M04,68.49,,,,,,,,143.69854086845
Afghanistan,2016M03,68.62,,,,,,,,143.29430280159
Afghanistan,2016M02,68.8,,,,,,,,142.82029430324
Afghanistan,2016M01,68.52,,,,,,,,141.67188185501
Afghanistan,2015M12,67.11,,,,,,,,141.56626465342
Afghanistan,2015M11,65.84,,,,,,,,141.43721492361
Afghanistan,2015M10,64.35,,,,,,,,140.53514452193
Afghanistan,2015M09,64.01,,,,,,,,140.39067962486
Afghanistan,2015M08,62.21,,,,,,,,138.54752351238
Afghanistan,2015M07,60.6,,,,,,,,137.70387288778
Afghanistan,2015M06,60.06,,,,,,,,137.8720471302
Afghanistan,2015M05,58.85,,,,,,,,137.53289651377
Afghanistan,2015M04,57.88,,,,,,,,137.56982985729
Afghanistan,2015M03,57.51,,,,,,,,137.87093267455
Afghanistan,2015M02,57.3,,,,,,,,138.565831518
Afghanistan,2015M01,58.0,,,,,,,,139.70838475044
Afghanistan,2014M12,57.45,,,,,,,,139.81195891938
Afghanistan,2014M11,57.45,,,,,,,,139.50070515633
Afghanistan,2014M10,57.45,,,,,,,,140.54239205129
Afghanistan,2014M09,57.23,,,,,,,,140.54051465151
Afghanistan,2014M08,56.61,,,,,,,,141.34606992762
Afghanistan,2014M07,57.52,,,,,,,,143.03375867496
Afghanistan,2014M06,57.7,,,,,,,,140.87632350241
Afghanistan,2014M05,57.29,,,,,,,,140.32654961701
Afghanistan,2014M04,57.25,,,,,,,,139.48235245388
Afghanistan,2014M03,57.38,,,,,,,,138.78605244904
Afghanistan,2014M02,57.1,,,,,,,,138.16476155026
Afghanistan,2014M01,56.54,,,,,,,,138.17568247084
Afghanistan,2013M12,57.65,,,,,,,,137.65956229484
Afghanistan,2013M11,57.57,,,,,,,,136.15512983195
Afghanistan,2013M10,57.37,,,,,,,,135.18837209449
Afghanistan,2013M09,56.78,,,,,,,,134.76348052694
Afghanistan,2013M08,56.3,,,,,,,,135.16943546983
Afghanistan,2013M07,56.74,,,,,,,,134.54893859366
Afghanistan,2013M06,55.51,,,,,,,,133.47073677155
Afghanistan,2013M05,55.21,,,,,,,,133.12315897362
Afghanistan,2013M04,54.17,,,,,,,,133.39498959928
Afghanistan,2013M03,53.29,,,,,,,,131.48470542521
Afghanistan,2013M02,52.01,,,,,,,,131.32041850175
Afghanistan,2013M01,51.93,,,,,,,,129.34394749441
Afghanistan,2012M12,52.03,,,,,,,,128.31900198799
Afghanistan,2012M11,53.53,,,,,,,,127.83685640611
Afghanistan,2012M10,52.3,,,,,,,,126.26175211753
Afghanistan,2012M09,51.7,,,,,,,,124.68455936266
Afghanistan,2012M08,51.46,,,,,,,,123.66610377794
Afghanistan,2012M07,51.56,,,,,,,,123.3344600131
Afghanistan,2012M06,50.46,,,,,,,,124.07436717235
Afghanistan,2012M05,50.03,,,,,,,,124.73116309463
Afghanistan,2012M04,49.85,,,,,,,,124.26652379185
Afghanistan,2012M03,49.39,,,,,,,,123.79812601645
Afghanistan,2012M02,49.36,,,,,,,,122.51688333684
Afghanistan,2012M01,49.39,,,,,,,,121.76603816044
Afghanistan,2011M12,48.56,,,,,,,,121.24299281008
Afghanistan,2011M11,48.02,,,,,,,,120.63387536264
Afghanistan,2011M10,48.05,,,,,,,,119.60029890294
Afghanistan,2011M09,47.57,,,,,,,,117.91447268885
Afghanistan,2011M08,47.24,,,,,,,,118.25028229389
Afghanistan,2011M07,47.57,,,,,,,,117.97858203634
Afghanistan,2011M06,46.45,,,,,,,,116.22725630674
Afghanistan,2011M05,45.83,,,,,,,,115.74911844568
Afghanistan,2011M04,45.68,,,,,,,,115.13123193735
Afghanistan,2011M03,45.29,,,,,,,,114.46271735792
Afghanistan,2011M02,45.3,,,,,,,,114.10900577507
Afghanistan,2011M01,45.41,,,,,,,,113.47153347355
Afghanistan,2010M12,45.18,,,,,,,,111.01368768397
Afghanistan,2010M11,45.21,,,,,,,,109.7868714411
Afghanistan,2010M10,45.11,,,,,,,,108.14092628979
Afghanistan,2010M09,45.53,,,,,,,,107.24142829091
Afghanistan,2010M08,45.99,,,,,,,,106.16752726969
Afghanistan,2010M07,45.44,,,,,,,,104.73303579581
Afghanistan,2010M06,46.37,,,,,,,,103.74976062595
Afghanistan,2010M05,46.7,,,,,,,,102.23645259404
Afghanistan,2010M04,48.07,,,,,,,,101.28966880563
Afghanistan,2010M03,47.97,,,,,,,,101.2255104526
Afghanistan,2010M02,47.45,,,,,,,,100.61285529385
Afghanistan,2010M01,48.41,,,,,,,,100.0
Angola,2019M09,364.44714285714,,,,,,,,
Angola,2019M08,359.5585,,,,,,,,
Angola,2019M07,345.81715217391,,,,,,,,
Angola,2019M06,338.328125,,,,,,,,
Angola,2019M05,326.64484782609,,,,,,,,
Angola,2019M04,319.42415909091,,,,,,,,
Angola,2019M03,316.33590476191,,,,,,,,
Angola,2019M02,314.672125,,,,,,,,
Angola,2019M01,310.94551449275,,,,,,,,
Angola,2018M12,309.77491269841,,15410.40536547,,,,,,
Angola,2018M11,310.22456818182,,15699.9907247532,,,,,,
Angola,2018M10,303.73445652174,,15479.7644996405,,,,,,
Angola,2018M09,286.058975,,15759.060454015,,,,,,
Angola,2018M08,266.18223913044,,16388.8273149491,,,,,,
Angola,2018M07,253.72929545455,,17680.0458182939,,,,,,
Angola,2018M06,242.67885714286,,17191.7455279008,,,,,,
Angola,2018M05,232.44558695652,,18224.0298215757,,,,,,
Angola,2018M04,218.92091836735,,16356.1321215143,,,,,,
Angola,2018M03,214.11891883117,,16967.5787740692,,,,,,
